onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
1.0480000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
3.3300000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
4.2140000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
8.8340000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
11.1160000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
12.9860000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
16.7200000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
19.0020000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
20.6940000000	n/a	n/a	Response: Correct	n/a	n/a	S200
24.5200000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
26.8020000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
27.9660000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
28.0280000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
28.8960000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
33.2620000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
35.5440000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
36.2020000000	n/a	n/a	Response: Correct	n/a	n/a	S200
40.7120000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
42.9940000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
43.7980000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
48.4120000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
50.6940000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
51.4060000000	n/a	n/a	Response: Correct	n/a	n/a	S200
56.2140000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
