onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
226.3620000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
228.6600000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
229.6000000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
233.8620000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
236.1440000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
236.7720000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
241.7140000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
243.9960000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
244.7480000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
249.2140000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
251.4960000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
252.4720000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
257.0820000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
259.3640000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
259.9760000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
264.6500000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
266.9320000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
267.5520000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
272.3500000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
274.6320000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
275.2960000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
280.0680000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
282.3500000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
282.8920000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
287.5680000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
289.8500000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
