onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
144.4160000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
146.7160000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
147.9420000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
151.9840000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
154.2660000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
155.1700000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
159.5340000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
161.8160000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
162.8700000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
167.1340000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
169.4160000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
170.1140000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
174.7680000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
177.0500000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
177.9860000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
182.2840000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
184.5660000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
185.2520000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
190.1360000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
192.4180000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
193.1120000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
193.1740000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
197.1080000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
201.5800000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
203.8620000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
204.4680000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
209.1960000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
211.4780000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
212.3520000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
217.0320000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
219.3140000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
219.9160000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
224.9000000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
227.1820000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
228.4760000000	n/a	n/a	Response: Correct	n/a	n/a	S200
232.6180000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
234.9000000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
235.8480000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
240.5380000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
242.8200000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
243.6440000000	n/a	n/a	Response: Correct	n/a	n/a	S200
243.7080000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
246.4600000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
251.0080000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
253.2900000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
254.1840000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
254.2460000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
257.6680000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
261.9460000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
264.2280000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
265.0640000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
269.6300000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
271.9120000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
272.5440000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
277.1480000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
279.4300000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
280.1320000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
284.9660000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
287.2480000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
288.4960000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
292.5320000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
294.8140000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
295.4800000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
300.1340000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
302.4160000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
303.4680000000	n/a	n/a	Response: Correct	n/a	n/a	S200
307.6660000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
309.9480000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
311.5080000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
311.5760000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
313.5120000000	n/a	n/a	Mind Wandering: Yes	n/a	n/a	S 51
