onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
190.6440000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
192.9440000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
193.7520000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
198.4120000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
200.6940000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
201.7880000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
206.0300000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
208.3120000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
209.0560000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
213.8820000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
216.1640000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
217.1120000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
221.4820000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
223.7640000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
224.7800000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
229.2000000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
231.4820000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
232.4720000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
236.9860000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
239.2680000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
240.4100000000	n/a	n/a	Response: Correct	n/a	n/a	S200
244.7880000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
247.0680000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
247.7180000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
252.2540000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
254.5360000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
255.3420000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
255.4080000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
257.6100000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
262.1860000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
264.4680000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
265.1820000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
265.2400000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
267.0580000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
271.8840000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
274.1660000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
274.9740000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
279.7700000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
282.0500000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
282.6540000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
287.2860000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
289.5680000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
290.6260000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
294.8520000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
