onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
178.3920000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
180.6900000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
181.4560000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
186.3120000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
188.5920000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
189.4760000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
194.2300000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
196.5120000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
197.6080000000	n/a	n/a	Response: Correct	n/a	n/a	S200
201.7460000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
204.0280000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
205.3320000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
209.4140000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
211.6960000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
212.8600000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
216.8980000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
219.1800000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
220.2320000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
224.4300000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
226.7120000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
227.5200000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
227.5840000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
236.8120000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
239.0940000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
240.0040000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
244.4300000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
246.7120000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
247.7660000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
251.9140000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
254.1940000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
255.1020000000	n/a	n/a	Response: Correct	n/a	n/a	S200
259.7820000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
262.0640000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
263.0100000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
267.5160000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
269.7980000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
270.5420000000	n/a	n/a	Response: Correct	n/a	n/a	S200
275.0840000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
277.3660000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
278.0820000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
282.7680000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
285.0500000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
285.5620000000	n/a	n/a	Response: Correct	n/a	n/a	S200
290.5700000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
292.8520000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
293.5580000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
298.2200000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
300.5020000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
301.1220000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
301.1900000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
302.9900000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
307.7680000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
310.0480000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
310.7980000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
315.6360000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
317.9180000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
319.2340000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
323.3040000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
325.5860000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
326.4660000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
326.5240000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
328.2580000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
333.0180000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
335.3000000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
335.9500000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
340.5680000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
342.8500000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
343.5500000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
348.3700000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
350.6520000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
351.4820000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
356.2060000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
358.4880000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
359.7460000000	n/a	n/a	Response: Correct	n/a	n/a	S200
363.7880000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
366.0700000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
366.8660000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
371.7080000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
373.9900000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
